The Exorcist,1973,Horror,,
Pulp Fiction,1994,Comedy,,
The Conjuring,2013,Horror,,
Inception,2010,Action,,
Toy Story,1995,Animation,,
The Godfather,1972,Drama,,
The Shining,1980,Horror,,
Forrest Gump,1994,Comedy,,
The Silence of the Lambs,1991,Horror,,
The Dark Knight,2008,Action,,
Avatar,2009,Action,,
Titanic,1997,Drama,,
Jurassic Park,1993,Adventure,,
The Lion King,1994,Animation,,
The Matrix,1999,Action,,
Harry Potter and the Sorcerer's Stone,2001,Fantasy,,
Finding Nemo,2003,Animation,,
The Avengers,2012,Action,,
The Lord of the Rings: The Fellowship of the Ring,2001,Fantasy,,
The Shawshank Redemption,1994,Drama,,
Gladiator,2000,Action,,
Inglourious Basterds,2009,War,,
The Grand Budapest Hotel,2014,Comedy,,
Interstellar,2014,Sci-Fi,,
The Wolf of Wall Street,2013,Crime,,
Frozen,2013,Animation,2024-06-13 22:00,Auditorium 1
Incredibles 2,2018,Animation,,
The Revenant,2015,Adventure,,
Mad Max: Fury Road,2015,Action,,
The Social Network,2010,Drama,,
